text,created_at,id,edit_history_tweet_ids,author_id,source,title,date,excerpt,image_url,link,scrape_date
"A Seeker just bought a Rare 𝗪𝗮𝗹𝗽𝘂𝗳𝗳 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/MqsxsI45FI

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/HDsDGWTMnr",2025-05-30T01:44:53.000Z,1.9282663296954286e+18,['1928266329695428734'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought an Epic 𝗖𝗵𝗼𝗰𝗼𝗺𝗶𝗻𝘁 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 100 $AURY  (13.42 $USD)

LFGame ⚡

Details: https://t.co/tQnkAnxFK8

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/pVhfWUIly2",2025-05-30T00:04:41.000Z,1.928241115901174e+18,['1928241115901173943'],1.8211428283047567e+18,twitter,,,,,,
"🔥 Post 74834 of 100,000 — You’ve been tagged!

The $DEGEN bonus is active 💸
You may be eligible to claim now:
Info 👉 https://t.co/4SWwfiqUmI

— DEGEN News

🫂 Eligible : @ShrimpSei @aurory_bit @RashedBaniSala1 @NAIMZZZZZZZZZZ @raza_marwat4124",2025-05-29T22:54:19.000Z,1.9282234074237706e+18,['1928223407423770736'],1.9192438548064092e+18,twitter,,,,,,
"🔥 Post 71908 of 100,000 — You’ve been tagged!

The $DEGEN bonus is active 💸
You may be eligible to claim now:
Info 👉 https://t.co/yF0oPRsoqh

— DEGEN News

🫂 Eligible : @iigg888 @hyperundertow @Melo_Aurory @samuel_amire @Saya118772",2025-05-29T22:52:14.000Z,1.928222882263446e+18,['1928222882263445997'],1.919193773243773e+18,twitter,,,,,,
"🔥 Post 80417 of 100,000 — You’ve been tagged!

The $DEGEN bonus is active 💸
You may be eligible to claim now:
Info 👉 https://t.co/B70ig9L5Bo

— Degen News

🫂 Eligible : @Jaiden_zapata @Jennyky2003 @password_0x000 @aurory_bit @sameer51340",2025-05-29T22:23:11.000Z,1.9282155710672814e+18,['1928215571067281529'],1.9191000033577902e+18,twitter,,,,,,
"🔥 Post 28018 of 100,000 — You’ve been tagged!

The $DEGEN bonus is active 💸
You may be eligible to claim now:
Info 👉 https://t.co/aDNcwgxzQN

— Degen News

🫂 Eligible : @Melo_Aurory @hattoreum @BaznoCap @alehegn24 @not3nao",2025-05-29T22:22:47.000Z,1.9282154693217485e+18,['1928215469321748529'],1.9191333867586314e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗡𝘂𝗺𝗯𝗲𝗿 𝟵 (𝗟𝗩𝗟  𝟭)! 🔥

LFGame ⚡

Details: https://t.co/hVXDztgiSQ

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/M148eSHOTL",2025-05-29T20:39:22.000Z,1.928189447595512e+18,['1928189447595512121'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought a Rare 𝗔𝘅𝗼𝗯𝘂𝗯𝗯𝗹𝗲 (𝗟𝗩𝗟  𝟲)! 🔥

Price: 60 $AURY  (8.03 $USD)

LFGame ⚡

Details: https://t.co/S8bDpR16QY

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/zMpfhRonmV",2025-05-29T15:43:53.000Z,1.9281150842130516e+18,['1928115084213051743'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought an Epic 𝗕𝗶𝘁𝗲𝗯𝗶𝘁 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 230 $AURY  (30.77 $USD)

LFGame ⚡

Details: https://t.co/oAMBtLuywf

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/9E9vk76lxm",2025-05-29T15:08:48.000Z,1.928106256251667e+18,['1928106256251666817'],1.8211428283047567e+18,twitter,,,,,,
"A Seeker just bought an Epic 𝗗𝗶𝗽𝗸𝗶𝗻𝗴 (𝗟𝗩𝗟  𝟭)! 🔥

Price: 220 $AURY  (29.44 $USD)

LFGame ⚡

Details: https://t.co/JbmwfvMekR

Start playing 𝗦𝗲𝗲𝗸𝗲𝗿𝘀 𝗼𝗳 𝗧𝗼𝗸𝗮𝗻𝗲 at https://t.co/0R9emrZMgA right now https://t.co/FQyTnY7Fpk",2025-05-29T15:08:45.000Z,1.928106244788634e+18,['1928106244788634075'],1.8211428283047567e+18,twitter,,,,,,
